Device used:  cuda
Epoch [6/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6246
Epoch [6/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6249
Epoch [6/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6263
Epoch [6/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6235
Epoch [6/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6236
Epoch [6/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6240
Epoch [6/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6223
Epoch [6/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6222
Epoch [6/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6231
Epoch [7/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6181
Epoch [7/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6195
Epoch [7/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6163
Epoch [7/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6182
Epoch [7/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6186
Epoch [7/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6198
Epoch [7/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6206
Epoch [7/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6196
Epoch [7/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6229
Epoch [7/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6223
Epoch [7/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6216
Epoch [7/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6203
Epoch [7/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6203
Epoch [8/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6293
Epoch [8/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6224
Epoch [8/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6199
Epoch [8/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6191
Epoch [8/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6202
Epoch [8/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6187
Epoch [8/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6182
Epoch [8/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6173
Epoch [8/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6170
Epoch [8/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6152
Epoch [8/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6152
Epoch [8/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6163
Epoch [8/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6157
Epoch [9/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6258
Epoch [9/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6241
Epoch [9/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6197
Epoch [9/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6171
Epoch [9/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6098
Epoch [9/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6107
Epoch [9/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6120
Epoch [9/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6125
Epoch [9/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6095
Epoch [9/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6091
Epoch [9/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6097
Epoch [9/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6079
Epoch [9/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6067
Epoch [10/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6120
Epoch [10/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6005
Epoch [10/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5995
Epoch [10/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.6023
Epoch [10/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5965
Epoch [10/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5935
Epoch [10/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5899
Epoch [10/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5920
Epoch [10/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5935
Epoch [10/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5940
Epoch [10/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5922
Epoch [10/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5909
Epoch [10/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5907
Epoch [11/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5695
Epoch [11/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5795
Epoch [11/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5780
Epoch [11/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5785
Epoch [11/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5788
Epoch [11/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5810
Epoch [11/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5796
Epoch [11/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5792
Epoch [11/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5777
Epoch [11/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5773
Epoch [11/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5775
Epoch [11/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5771
Epoch [11/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5760
Epoch [12/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5595
Epoch [12/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5617
Epoch [12/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5593
Epoch [12/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5663
Epoch [12/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5652
Epoch [12/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5663
Epoch [12/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5674
Epoch [12/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5692
Epoch [12/50], Step [288/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5681
Epoch [12/50], Step [320/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5688
Epoch [12/50], Step [352/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5686
Epoch [12/50], Step [384/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5686
Epoch [12/50], Step [416/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5693
Epoch [13/50], Step [32/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5583
Epoch [13/50], Step [64/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5664
Epoch [13/50], Step [96/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5703
Epoch [13/50], Step [128/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5655
Epoch [13/50], Step [160/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5683
Epoch [13/50], Step [192/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5639
Epoch [13/50], Step [224/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5615
Epoch [13/50], Step [256/445], Mapping_Loss: 0.6931, Confidence_Loss: 0.5625
